"MST.nummer";"Unikt.prøvesæt.nummer";"Noter.på.plastic.posen";"Konc.målt.på.Qubit._ng.uL";"Dato.for.ekstraktion";"Ekstraktionsnummer";"Noter2";"Elueringvolumen.AE.buffer.uL";"Sub_Nmb_for_extraction";"Dato_for_indsml";"X.Noter2";"U_Pr_Nr";"MSTno_di";"wdt"
"460";"MST0113";"5";NA;"1.94";"2021-mar-05";"MST-SX19";NA;"350";"19_05";"#N/A-NA-#N/A";NA;"MST0113";"MST0113::#N/A-NA-#N/A";FALSE
"86";"MST0113";"20180706-1";NA;"notmeasured";"'2018nov22";"MST-SX03";"MST_No3";"350";NA;"2018-07-06";NA;"MST0113";"MST0113::2018-07-06";FALSE
"87";"MST0114";"20180904-2";NA;NA;NA;NA;"MST_No3";"350";NA;"2018-09-04";NA;"MST0114";"MST0114::2018-09-04";FALSE
"88";"MST0115";"20180515-4";NA;"notmeasured";"'2018nov21";"MST-SX02";"MST_No1";"350";NA;"2018-05-15";NA;"MST0115";"MST0115::2018-05-15";FALSE
"89";"MST0117";"20170919-2";NA;NA;NA;NA;"MST_No3";"350";NA;"2017-09-19";NA;"MST0117";"MST0117::2017-09-19";FALSE
"90";"MST0118";"20170919-2";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No1";"350";"14";"2017-09-19";NA;"MST0118";"MST0118::2017-09-19";FALSE
"91";"MST0119";"20170919-2";NA;NA;NA;NA;"MST_No2";"350";NA;"2017-09-19";NA;"MST0119";"MST0119::2017-09-19";FALSE
"92";"MST0120";"20170905-1";NA;NA;NA;NA;"MST_No2";"350";NA;"2017-09-05";NA;"MST0120";"MST0120::2017-09-05";FALSE
"93";"MST0121";"20170905-1";NA;"notmeasured";"'2018nov15";"MST-SX01";"MST_No3";"350";NA;"2017-09-05";NA;"MST0121";"MST0121::2017-09-05";FALSE
"94";"MST0122";"20170905-1";NA;NA;NA;NA;"MST_No1";"350";NA;"2017-09-05";NA;"MST0122";"MST0122::2017-09-05";FALSE
"95";"MST0123";"20180807-1";NA;NA;NA;NA;"MST_No2";"350";NA;"2018-08-07";NA;"MST0123";"MST0123::2018-08-07";FALSE
