"MST.nummer";"dato indsamlet";"lokalitet_vanda";"volumen vand filtreret (mL)";"breddegrad";"længdegrad"
"MST1031_2021-03-17";"2021-03-17";93210013;"1500";55.8657;11.7835
"MST1027_2021-03-19";"2021-03-19";96510125;"1500";55.0262;10.3685
"MST1043_2021-04-06";"2021-04-06";93500119;"1500";56.6262;10.3204
"MST1038_2021-04-14";"2021-04-14";95220322;"1700";55.1395;11.5002
"MST1024_2021-04-15";"2021-04-15";93770056;"1500";56.6008;8.4002
"MST1039_2021-04-26";"2021-04-26";91320001;"570";56.0778;8.2167
"MST2021012_2021-04-27";"2021-04-27";95130028;"1500";55.7022;9.6614
"MST2021039_2021-05-07";"2021-05-07";93610032;"1800";56.6627;9.9668
"MST2021075_2021-05-11";"2021-05-11";94300001;"1100";55.6744;10.0845
"MST1022_2021-05-17";"2021-05-17";94400007;"1100";56.1547;10.317
"MST2021089_2021-05-17";"2021-05-17";94510035;"1400";56.2094;10.6003
"MST2021043_2021-05-17";"2021-05-17";93000001;"1500";56.1317;11.1513
"MST1054_2021-05-18";"2021-05-18";99000052;"1400";55;13.3
"MST2021044_2021-05-19";"2021-05-19";91500007;"1200";55.3375;8.3501
"MST2021008_2021-05-19";"2021-05-19";97200002;"1300";55.8667;12.75
"MST2021088_2021-05-20";"2021-05-20";96700057;"1600";55.4392;10.8277
"MST2021049_2021-05-21";"2021-05-21";91650035;"500";55.0939;8.5683
"MST2021062_2021-05-21";"2021-05-21";95600002;"1400";54.9976;10.1654
"MST2021019_2021-05-25";"2021-05-25";93000005;"1650";56.8567;10.7835
"MST2021030_2021-05-26";"2021-05-26";93740007;"1600";56.6208;9.0668
"MST2021005_2021-06-01";"2021-06-01";93220011;"1600";55.713;12.04
"MST2021051_2021-06-04";"2021-06-04";93730002;"1700";56.9543;9.0708
"MST2021025_2021-06-10";"2021-06-10";99150002;"1750";55.0335;15.5078
"MST2021052_2021-06-14";"2021-06-14";94230001;"610";55.4678;10.5169
"MST2021031_2021-06-17";"2021-06-17";92200001;"1200";57.6078;9.9003
"MST2021032_2021-06-23";"2021-06-23";93920064;"1400";57.5408;10.4688
"MST2021002_2021-07-07";"2021-07-07";96220363;"1000";55.1576;11.6358
"MST2021099_2021-08-24";"2021-08-24";94400007;"1500";56.1544;10.3167
"MST2021006_2021-08-24";"2021-08-24";99210007;"1400";54.7411;12.0852
"MST2021013_2021-08-25";"2021-08-25";93220011;"1600";55.713;12.04
"MST2021058_2021-08-30";"2021-08-30";94300001;"1500";55.6744;10.0845
"MST2021011_2021-08-31";"2021-08-31";98210012;"1500";54.7348;11.0847
"MST2021015_2021-09-02";"2021-09-02";91320001;"925";56.0778;8.2168
"MST2021064_2021-09-02";"2021-09-02";93730002;"700";56.954;9.0502
"MST2021076_2021-09-02";"2021-09-02";99000052;"1800";54.9997;13.3
"MST2021079_2021-09-06";"2021-09-06";93740007;"1100";56.6208;9.0668
"MST2021082_2021-09-07";"2021-09-07";93000005;"1500";56.8561;10.7845
"MST2021029_2021-09-07";"2021-09-07";97200002;"1800";55.8617;12.7336
"MST2021055_2021-09-14";"2021-09-14";99000049;"1500";55.25;15.9833
"MST2021040_2021-09-15";"2021-09-15";93420310;"1270";56.4437;10.9524
"MST2021085_2021-09-16";"2021-09-16";93000001;"1700";56.1305;11.1501
"MST2021081_2021-09-20";"2021-09-20";91500007;"1300";55.3375;8.3501
"MST2021028_2021-09-27";"2021-09-27";92200001;"1200";57.6078;9.9003
"MST2021071_2021-10-13";"2021-10-13";94230001;"1500";55.4678;10.5169
"MST2021083_2021-10-22";"2021-10-22";95600002;"1500";54.9977;10.1517
"MST2021070_2021-10-26";"2021-10-26";93610032;"1200";56.6627;9.9668
"MST2021098_2022-02-28";"2022-02-28";99000049;"1500";55.2495;15.9669
"MST0011_2022-03-08";"2022-03-08";93500119;"1500";56.6676;10.6022
"MST0566_2022-03-14";"2022-03-14";93720041;"800";57.0247;9.6346
"MST2021005_2022-04-19";"2022-04-19";95130028;"600";55.7021;9.6511
"MST2021021_2022-04-19";"2022-04-19";97120028;"1200";56.5093;12.4267
"MST2021014_2022-04-21";"2022-04-21";93100055;"1250";57.2542;11.9675
"MST2021011_2022-04-28";"2022-04-28";95700008;"1425";55.2082;9.8301
"MST2021023_2022-04-28";"2022-04-28";91650035;"880";55.0929;8.5677
"MST2021019_2022-04-29";"2022-04-29";90000961;"800";55.018;13.3007
