"MST.nummer";"dato indsamlet";"lokalitet_vanda";"latinsk artsnavn";"sæson";"år"
"MST0364_2020-09-15";"2020-09-15";91320001;"Mnemiopsis leidyi";"jul-nov";"2020"
"MST0406_2020-09-03";"2020-09-03";99000052;"Mnemiopsis leidyi";"jul-nov";"2020"
"MST0435_2020-08-03";"2020-08-03";96220363;"Mnemiopsis leidyi";"jul-nov";"2020"
"MST0439_2020-09-15";"2020-09-15";99210007;"Mnemiopsis leidyi";"jul-nov";"2020"
"MST0452_2020-09-29";"2020-09-29";92200001;"Mnemiopsis leidyi";"jul-nov";"2020"
"MST0459_2020-09-01";"2020-09-01";94300001;"Mnemiopsis leidyi";"jul-nov";"2020"
"MST0504_2020-09-29";"2020-09-29";92200001;"Mnemiopsis leidyi";"jul-nov";"2020"
"MST0547_2020-08-31";"2020-08-31";97200002;"Mnemiopsis leidyi";"jul-nov";"2020"
"MST1002_2020-08-06";"2020-08-06";93740007;"Mnemiopsis leidyi";"jul-nov";"2020"
"MST1003_2020-08-03";"2020-08-03";93000005;"Mnemiopsis leidyi";"jul-nov";"2020"
"MST1005_2020-08-03";"2020-08-03";93000005;"Mnemiopsis leidyi";"jul-nov";"2020"
"MST1006_2020-09-23";"2020-09-23";98210012;"Mnemiopsis leidyi";"jul-nov";"2020"
"MST1010_2020-08-04";"2020-08-04";93610032;"Mnemiopsis leidyi";"jul-nov";"2020"
"MST1013_2020-08-05";"2020-08-05";93730002;"Mnemiopsis leidyi";"jul-nov";"2020"
"MST1016_2020-08-18";"2020-08-18";94400007;"Mnemiopsis leidyi";"jul-nov";"2020"
"MST1023_2020-08-31";"2020-08-31";94230001;"Mnemiopsis leidyi";"jul-nov";"2020"
"MST1049_2020-08-13";"2020-08-13";94300001;"Mnemiopsis leidyi";"jul-nov";"2020"
"MST1051_2020-08-10";"2020-08-10";95600002;"Mnemiopsis leidyi";"jul-nov";"2020"
"MST1052_2020-08-26";"2020-08-26";93420310;"Mnemiopsis leidyi";"jul-nov";"2020"
"MST1022_2021-05-17";"2021-05-17";94400007;"Mnemiopsis leidyi";"jan-jun";"2021"
"MST1028_2021-03-15";"2021-03-15";95700008;"Mnemiopsis leidyi";"jan-jun";"2021"
"MST1031_2021-03-17";"2021-03-17";93210013;"Mnemiopsis leidyi";"jan-jun";"2021"
"MST2021002_2021-07-07";"2021-07-07";96220363;"Mnemiopsis leidyi";"jan-jun";"2021"
"MST2021012_2021-04-27";"2021-04-27";95130028;"Mnemiopsis leidyi";"jan-jun";"2021"
"MST2021019_2021-05-25";"2021-05-25";93000005;"Mnemiopsis leidyi";"jan-jun";"2021"
"MST2021032_2021-06-23";"2021-06-23";93920064;"Mnemiopsis leidyi";"jan-jun";"2021"
"MST2021043_2021-05-17";"2021-05-17";93000001;"Mnemiopsis leidyi";"jan-jun";"2021"
"MST2021049_2021-05-21";"2021-05-21";91650035;"Mnemiopsis leidyi";"jan-jun";"2021"
"MST2021052_2021-06-14";"2021-06-14";94230001;"Mnemiopsis leidyi";"jan-jun";"2021"
"MST2021062_2021-05-21";"2021-05-21";95600002;"Mnemiopsis leidyi";"jan-jun";"2021"
"MST2021075_2021-05-11";"2021-05-11";94300001;"Mnemiopsis leidyi";"jan-jun";"2021"
"MST2021088_2021-05-20";"2021-05-20";96700057;"Mnemiopsis leidyi";"jan-jun";"2021"
"MST2021006_2021-08-24";"2021-08-24";99210007;"Mnemiopsis leidyi";"jul-nov";"2021"
"MST2021011_2021-08-31";"2021-08-31";98210012;"Mnemiopsis leidyi";"jul-nov";"2021"
"MST2021013_2021-08-25";"2021-08-25";93220011;"Mnemiopsis leidyi";"jul-nov";"2021"
"MST2021015_2021-09-02";"2021-09-02";91320001;"Mnemiopsis leidyi";"jul-nov";"2021"
"MST2021028_2021-09-27";"2021-09-27";92200001;"Mnemiopsis leidyi";"jul-nov";"2021"
"MST2021029_2021-09-07";"2021-09-07";97200002;"Mnemiopsis leidyi";"jul-nov";"2021"
"MST2021040_2021-09-15";"2021-09-15";93420310;"Mnemiopsis leidyi";"jul-nov";"2021"
"MST2021055_2021-09-14";"2021-09-14";99000049;"Mnemiopsis leidyi";"jul-nov";"2021"
"MST2021058_2021-08-30";"2021-08-30";94300001;"Mnemiopsis leidyi";"jul-nov";"2021"
