ScientificName;AphiaID;Synonym;SynonymID;Kingdom;Phylum;Class;Order;Family;Genus;locality;locationID;higherGeography;higherGeographyID;recordStatus;typeStatus;establishmentMeans;decimalLatitude;decimalLongitude;qualityStatus
Callista chione;141906;Callista chione;141906;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Callista;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;Belgium;http://marineregions.org/mrgid/14;doubtful;NA;NA;NA;NA;unreviewed
Callista chione;141906;Callista chione;141906;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Callista;Azores Exclusive Economic Zone;http://marineregions.org/mrgid/8361;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Leucothea multicornis;106398;Leucothea multicornis;106398;Animalia;Ctenophora;Tentaculata;Lobata;Leucotheidae;Leucothea;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Leucothea multicornis;106398;Leucothea multicornis;106398;Animalia;Ctenophora;Tentaculata;Lobata;Leucotheidae;Leucothea;North West Atlantic;http://marineregions.org/mrgid/7135;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Metis holothuriae;116379;Metis holothuriae;116379;Animalia;Arthropoda;Copepoda;Harpacticoida;Metidae;Metis;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Metis natans;157703;Metis natans;157703;Animalia;Arthropoda;Copepoda;Harpacticoida;Metidae;Metis;North West Atlantic;http://marineregions.org/mrgid/7135;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Venerupis decussata;422914;Venerupis decussata;422914;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Venerupis;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;unreviewed
Venerupis decussata;422914;Venerupis decussata;422914;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Venerupis;Bermudian Exclusive Economic Zone;http://marineregions.org/mrgid/8402;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;Alien;NA;NA;checked
Venerupis geographica;141931;Venerupis geographica;141931;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Venerupis;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Venerupis geographica;141931;Venerupis geographica;141931;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Venerupis;Wimereux;http://marineregions.org/mrgid/979;France;http://marineregions.org/mrgid/17;doubtful;NA;NA;NA;NA;unreviewed
Venerupis geographica;141931;Venerupis geographica;141931;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Venerupis;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;Belgium;http://marineregions.org/mrgid/14;valid;NA;NA;NA;NA;unreviewed
Venerupis geographica;141931;Venerupis geographica;141931;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Venerupis;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;Belgium;http://marineregions.org/mrgid/14;valid;NA;NA;NA;NA;unreviewed
Pitar mediterranea;141925;Pitar mediterranea;141925;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Pitar;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Pitar rudis;141926;Pitar rudis;141926;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Pitar;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Pitar rudis;141926;Pitar rudis;141926;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Pitar;Azores Exclusive Economic Zone;http://marineregions.org/mrgid/8361;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Salacia articulata;117891;Salacia articulata;117891;Animalia;Cnidaria;Hydrozoa;Leptothecata;Sertulariidae;Salacia;North West Atlantic;http://marineregions.org/mrgid/7135;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Salacia carica;156658;Salacia carica;156658;Animalia;Cnidaria;Hydrozoa;Leptothecata;Sertulariidae;Salacia;North West Atlantic;http://marineregions.org/mrgid/7135;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Salacia laxa;156660;Salacia laxa;156660;Animalia;Cnidaria;Hydrozoa;Leptothecata;Sertulariidae;Salacia;North West Atlantic;http://marineregions.org/mrgid/7135;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Venus casina;141934;Venus casina;141934;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Venus;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Venus casina;141934;Venus casina;141934;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Venus;Wimereux;http://marineregions.org/mrgid/979;France;http://marineregions.org/mrgid/17;doubtful;NA;NA;NA;NA;unreviewed
Venus casina;141934;Venus casina;141934;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Venus;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;doubtful;NA;NA;NA;NA;unreviewed
Venus casina;141934;Venus casina;141934;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Venus;Azores Exclusive Economic Zone;http://marineregions.org/mrgid/8361;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Venus chevreuxi;225242;Venus chevreuxi;225242;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Venus;Western Saharan Exclusive Economic Zone;http://marineregions.org/mrgid/8368;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio banyulensis;131151;Prionospio banyulensis;131151;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio caspersi;131152;Prionospio caspersi;131152;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio cirrifera;131153;Prionospio cirrifera;131153;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio cirrifera;131153;Prionospio cirrifera;131153;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;Golfe Normanno-Breton;http://marineregions.org/mrgid/17599;English Channel;http://marineregions.org/mrgid/2389;valid;NA;NA;NA;NA;unreviewed
Prionospio cirrifera;131153;Prionospio cirrifera;131153;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;Roscoff;http://marineregions.org/mrgid/14276;France;http://marineregions.org/mrgid/17;valid;NA;NA;NA;NA;unreviewed
Prionospio cristata;157542;Prionospio cristata;157542;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;North West Atlantic;http://marineregions.org/mrgid/7135;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Prionospio decipiens;131154;Prionospio decipiens;131154;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
