"","Vandprvenummer_unikt_nummer_U_Pr_Nr","Ansvarlig_prvetager_navn_Navn_Inds","Skib_skib","Institution_Inst","dato_dato_inds","lokalitet_navn_omrde_Lok_omr","position_breddegrad_lok_pos","position_lngdegrad_lok_pos","Max_vanddybde_p_lokalitet_max_Dyb","Dybde_hvor_vandprve_er_indhentet_fra_Dyb_Str","Volumen_vand_filtreret_Vwf","Er_vandsjlen_lagdelt_ja_nej","Dybde_for_lagdelingen_Dyb_lagd","dato_hvor_vandprve_er_overfrt_fra_15_C_til_80_C_dato_80C","Temperatur_p_vandprve_ved_indsamling_Temp_Inds","Er_vandhenter_behrigt_skyllet_inden_vandprven_blev_indsamlet_ja_nej","Er_pose_og_filter_udskiftet_i_Amphiltrator_inden_prven_er_blevet_filtreret_ja_nej","Vandprven_blev_indsamlet_samtidigt_med_bundfauna_makroalge_zooplankton_fytoplankton_fiskeri","Restvand_er_presset_ud_af_filteret_inden_indfrysning_ja_nej","Zip_lock_pose_med_filter_er_markeret_med_dato_unikt_nummer_og_lokalitet_ja_nej","Bemrkninger","position_breddegrad_lok_pos03","position_breddegrad_lok_pos02","position_lngdegrad_lok_pos03","position_lngdegrad_lok_pos02","tidspunkt_hvor_vandprve_er_indsamlet_tdspkt_inds_01","tidspunkt_hvor_vandprve_er_filtreret_tdspkt_filt","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_01","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_02"
"84","MST483","SteenKrogsboellstkro","aaboen","MSTStorstroem","2019-05-01","BRKBMPK2_910Bornholmaabnedel",55.25,15.59,89,1,1500,"ja","55","2019-05-13","6.5","ja","ja","Fytoplankton_Zooplankton","ja","ja","Fryser var uden strøm på hjem-sejladsen. Temperaturen steg fra -18°C til -4°C i ca. 3 timer.","5515","55DEGR_15MINUT_0SECONDS","1559","015DEGR_35MINUT_24SECONDS","11:30","11:50","11:50","- prven lagt p frost umiddelbart efter filtering"
"85","MST521","SteenKrogsboellstkro","aaboen","MSTStorstroem","2019-08-07","BRKBMPK2_910Bornholmaabnedel",55.25,15.59,89,1,1400,"ja","60","2019-09-03","19.7","ja","ja","Fytoplankton_Zooplankton","ja","ja",NA,"5515","55DEGR_15MINUT_0SECONDS","1559","015DEGR_35MINUT_24SECONDS","11:10","11:30","11:30","- prven lagt p frost umiddelbart efter filtering"
"86","MST042","SteenKrogsboellstkro","aaboen","MSTStorstroem","2019-08-07","BRKBMPK2_910Bornholmaabnedel",55.25,15.59,89,1,1500,"ja","60","2019-09-03","19.7","ja","ja","Fytoplankton_Zooplankton","ja","ja",NA,"5515","55DEGR_15MINUT_0SECONDS","1559","015DEGR_35MINUT_24SECONDS","11:38","11:50","11:50","- prven lagt p frost umiddelbart efter filtering"
"87","MST264","SteenKrogsboellstkro","aaboen","MSTStorstroem","2019-08-07","BRKBMPK2_910Bornholmaabnedel",55.25,15.59,89,1,1450,"ja","60","2019-09-03","19.7","ja","ja","Fytoplankton_Zooplankton","ja","ja",NA,"5515","55DEGR_15MINUT_0SECONDS","1559","015DEGR_35MINUT_24SECONDS","12:00","12:20","12:20","- prven lagt p frost umiddelbart efter filtering"
"88","MST441","LASOJ","Fucus","Sydjylland","2019-08-27","SoenderhoRIB1510007",55.3376,8.35004444444444,6.2,1,900,"nej",NA,"2019-08-27","20","ja","ja","Fytoplankton","ja","ja",NA,"5520.256","55DEGR_20MINUT_15.36SECONDS","821.016","008DEGR_21MINUT_0.16SECONDS","10:36","10:53","10:55",NA
"89","MST498","LASOJ","Fucus","Sydjylland","2019-08-27","SoenderhoRIB1510007",55.3376,8.35004444444444,6.2,1,900,"nej",NA,"2019-08-27","20","ja","ja","Fytoplankton","ja","ja",NA,"5520.256","55DEGR_20MINUT_15.36SECONDS","821.016","008DEGR_21MINUT_0.16SECONDS","11:00","11:10","11:11",NA
"90","MST492","LASOJ","Fucus","Sydjylland","2019-08-27","SoenderhoRIB1510007",55.3376,8.35004444444444,6.2,1,900,"nej",NA,"2019-08-27","20","ja","ja","Fytoplankton","ja","ja",NA,"5520.256","55DEGR_20MINUT_15.36SECONDS","821.016","008DEGR_21MINUT_0.16SECONDS","11:15","11:31","11:33",NA
"91","MST470","LASOJ","Haig","Sydjylland","2019-05-14","SoenderhoRIB1510007",55.3375,8.35011666666667,6,1,1000,"nej",NA,"2019-05-15","11","ja","ja","Fytoplankton","ja","ja",NA,"5520.25","55DEGR_20MINUT_15SECONDS","821.042","008DEGR_21MINUT_0.42SECONDS","12:18","12:30","12:31",NA
"92","MST414","LASOJ","Haig","Sydjylland","2019-05-14","SoenderhoRIB1510007",55.3375,8.35011666666667,6,1,1200,"nej",NA,"2019-05-15","11","ja","ja","Fytoplankton","ja","ja",NA,"5520.25","55DEGR_20MINUT_15SECONDS","821.042","008DEGR_21MINUT_0.42SECONDS","15:50","13:08","13:10",NA
"93","MST493","LASOJ","Haig","Sydjylland","2019-05-14","SoenderhoRIB1510007",55.3375,8.35011666666667,6,1,1150,"nej",NA,"2019-05-15","11","ja","ja","Fytoplankton","ja","ja",NA,"5520.25","55DEGR_20MINUT_15SECONDS","821.042","008DEGR_21MINUT_0.42SECONDS","12:36","12:44","12:45",NA
