"ScientificName";"AphiaID";"Synonym";"SynonymID";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"locality";"locationID";"higherGeography";"higherGeographyID";"recordStatus";"typeStatus";"establishmentMeans";"decimalLatitude";"decimalLongitude";"qualityStatus"
"Dosinia alta";216569;"Dosinia alta";216569;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";"Red Sea";"http://marineregions.org/mrgid/4264";"Red Sea";"http://marineregions.org/mrgid/4264";"valid";;;;;"unreviewed"
"Dosinia altenai";539467;"Dosinia altenai";539467;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia altior";507598;"Dosinia altior";507598;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia amamiensis";507568;"Dosinia amamiensis";507568;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia amethystina";539468;"Dosinia amethystina";539468;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia amphidesmoides";539469;"Dosinia amphidesmoides";539469;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia amphidesmoides";507577;"Dosinia amphidesmoides";507577;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia angulosa";507572;"Dosinia angulosa";507572;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia annae";539470;"Dosinia annae";539470;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
"Dosinia anus";507573;"Dosinia anus";507573;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";"New Zealand Exclusive Economic Zone";"http://marineregions.org/mrgid/8455";;;"valid";"holotype";"Native - Endemic";;;"checked"
"Dosinia areolata";507637;"Dosinia areolata";507637;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";"Australian Exclusive Economic Zone";"http://marineregions.org/mrgid/8323";;;"valid";"holotype";;;;"checked"
"Dosinia aspera";507578;"Dosinia aspera";507578;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Dosinia";;;;;;;;;;
